"Município";"Pib"
"Campinas do Piauí (PI)";"57496"
"Campo Alegre do Fidalgo (PI)";"51371"
"Campo Grande do Piauí (PI)";"62135"
"Campo Largo do Piauí (PI)";"56554"
"Campo Maior (PI)";"705863"
"Canavieira (PI)";"41948"
"Canto do Buriti (PI)";"271388"
"Capitão de Campos (PI)";"106410"
"Capitão Gervásio Oliveira (PI)";"43675"
"Caracol (PI)";"97485"
"Caraúbas do Piauí (PI)";"57437"
"Caridade do Piauí (PI)";"50031"
"Castelo do Piauí (PI)";"202443"
"Caxingó (PI)";"53140"
"Cocal (PI)";"272767"
"Cocal de Telha (PI)";"46961"
"Cocal dos Alves (PI)";"56960"
"Coivaras (PI)";"37708"
"Colônia do Gurguéia (PI)";"70559"
"Colônia do Piauí (PI)";"68111"
"Conceição do Canindé (PI)";"60446"
"Coronel José Dias (PI)";"40760"
"Corrente (PI)";"680693"
"Cristalândia do Piauí (PI)";"75069"
"Cristino Castro (PI)";"121550"
"Curimatá (PI)";"141390"
"Currais (PI)";"409013"
"Curralinhos (PI)";"39660"
"Curral Novo do Piauí (PI)";"78394"
"Demerval Lobão (PI)";"211639"
"Dirceu Arcoverde (PI)";"67492"
"Dom Expedito Lopes (PI)";"78045"
"Domingos Mourão (PI)";"46532"
"Dom Inocêncio (PI)";"164346"
"Elesbão Veloso (PI)";"164731"
"Eliseu Martins (PI)";"55592"
"Esperantina (PI)";"456546"
"Fartura do Piauí (PI)";"46774"
"Flores do Piauí (PI)";"48120"
"Floresta do Piauí (PI)";"25258"
"Floriano (PI)";"1469174"
"Francinópolis (PI)";"44797"
"Francisco Ayres (PI)";"46763"
"Francisco Macedo (PI)";"32841"
"Francisco Santos (PI)";"83027"
